fyrnr,page_number,problem
636240,587,No sector number for sector white (0.0 - 360.0)
636730,587,No sector number for sector white (0.0 - 360.0)
637044,587,No sector number for sector red (0.0 - 360.0)
637046,587,No sector number for sector red (0.0 - 360.0)
637047,588,No sector number for sector green (0.0 - 360.0)
637053,588,No sector number for sector green (0.0 - 360.0)
637055,588,No sector number for sector green (0.0 - 360.0)
637060,588,No sector number for sector white (0.0 - 360.0)
637140,588,No sector number for sector white (0.0 - 360.0)
637141,588,No sector number for sector green (0.0 - 360.0)
637142,588,No sector number for sector red (0.0 - 360.0)
637143,588,No sector number for sector green (0.0 - 360.0)
658001,605,No sector number for sector green (0.0 - 360.0)
658104,606,No sector number for sector red (0.0 - 360.0)
658105,606,No sector number for sector green (0.0 - 360.0)
658106,606,No sector number for sector red (0.0 - 360.0)
658107,606,No sector number for sector green (0.0 - 360.0)
658108,606,No sector number for sector red (0.0 - 360.0)
658109,606,No sector number for sector green (0.0 - 360.0)
658412,606,No sector number for sector red (0.0 - 360.0)
658511,607,No sector number for sector green (0.0 - 360.0)
658513,607,No sector number for sector green (0.0 - 360.0)
658514,607,No sector number for sector red (0.0 - 360.0)
658515,607,No sector number for sector green (0.0 - 360.0)
658516,607,No sector number for sector red (0.0 - 360.0)
658517,607,No sector number for sector green (0.0 - 360.0)
658518,607,No sector number for sector red (0.0 - 360.0)
658602,607,No sector number for sector red (0.0 - 360.0)
658603,607,No sector number for sector green (0.0 - 360.0)
658610,607,No sector number for sector white (0.0 - 360.0)
658708,608,No sector number for sector red (0.0 - 360.0)
658709,608,No sector number for sector green (0.0 - 360.0)
658712,608,No sector number for sector red (0.0 - 360.0)
666150,616,No sector number for sector white (0.0 - 360.0)
666180,616,No sector number for sector white (0.0 - 360.0)
666181,616,No sector number for sector green (0.0 - 360.0)
666183,616,No sector number for sector green (0.0 - 360.0)
666184,616,No sector number for sector red (0.0 - 360.0)
666185,616,No sector number for sector green (0.0 - 360.0)
666795,617,No sector number for sector green (0.0 - 360.0)
667187,617,No sector number for sector green (0.0 - 360.0)
667190,617,No sector number for sector white (0.0 - 360.0)
667291,617,No sector number for sector green (0.0 - 360.0)
667296,618,No sector number for sector red (0.0 - 360.0)
667298,618,No sector number for sector red (0.0 - 360.0)
668660,618,No sector number for sector white (0.0 - 360.0)
668755,619,No sector number for sector green (0.0 - 360.0)
668802,619,No sector number for sector red (0.0 - 360.0)
668952,619,No sector number for sector red (0.0 - 360.0)
669161,619,No sector number for sector green (0.0 - 360.0)
669162,619,No sector number for sector red (0.0 - 360.0)
669165,619,No sector number for sector green (0.0 - 360.0)
669166,620,No sector number for sector red (0.0 - 360.0)
669169,620,No sector number for sector green (0.0 - 360.0)
669371,620,No sector number for sector green (0.0 - 360.0)
669372,620,No sector number for sector red (0.0 - 360.0)
669673,621,No sector number for sector green (0.0 - 360.0)
669776,621,No sector number for sector red (0.0 - 360.0)
669878,621,No sector number for sector red (0.0 - 360.0)
670000,621,Gap in sector numbering. Missing sector number 8
670000,621,Gap in sector numbering. Missing sector number 7
670000,621,Non sequential sector has a non-continuous angle. 257.9 != 292.7
670704,621,No sector number for sector red (0.0 - 360.0)
671505,622,No sector number for sector green (0.0 - 360.0)
672011,622,No sector number for sector green (0.0 - 360.0)
672012,623,No sector number for sector red (0.0 - 360.0)
672014,623,No sector number for sector red (0.0 - 360.0)
672116,623,No sector number for sector red (0.0 - 360.0)
672218,623,No sector number for sector red (0.0 - 360.0)
672319,623,No sector number for sector green (0.0 - 360.0)
672427,623,No sector number for sector green (0.0 - 360.0)
672710,623,No sector number for sector white (0.0 - 360.0)
672724,624,No sector number for sector red (0.0 - 360.0)
672725,624,No sector number for sector green (0.0 - 360.0)
